管轄市町村名,避難先名称,避難種別,指定区分,指定場所,災害区分,土砂災害・浸水・津波浸水予測地域,風水害,津波,耐震性,備蓄の有無,備蓄品目,標高（m）,経度：東経(世界測地系10進法),緯度：北緯(世界測地系10進法),発電機の有無,発動発電機（可搬型）,自家発電機,施設面積〈屋内〉（㎡）,施設面積〈屋外〉（㎡）,収容人数(避難所),収容人数(避難場所）,所在地,備考1
有田市,田鶴小学校【指定】,避難所を兼ねる避難場所,指定避難場所兼指定避難所,,崖崩れ・土石流及び地滑り　地震　津波　,土砂災害予測地域　,☆（注）,☆☆,耐震　,○,簡易トイレ、投光器、ＬＰガス、パーティション,5.1,135.097277,34.077187,,,,3576,,610,3248,有田市宮崎町2131,
有田市,田鶴小学校運動場,避難場所,指定避難場所,,地震　,土砂災害予測地域　,,,,,,5.1,135.097277,34.077187,,,,,5316,300,,有田市宮崎町2131,
有田市,辰ヶ浜ふれあいセンター,避難所,指定避難所,,,浸水予測地域　津波浸水予測地域,,,耐震　,,,,135.098378,34.081112,,,,252,,80,,有田市宮崎町2342-437,
有田市,辰ヶ浜霊園高台,避難場所,指定避難場所,,津波　,土砂災害予測地域　,,☆☆☆,,,,28,135.100742,34.077419,,,,,,,,有田市宮崎町2208-1,
有田市,田鶴小学校裏山,避難場所,指定避難場所,,洪水　津波　,土砂災害予測地域　,,☆☆☆,,,,28,135.097076,34.076353,,,,,,,,有田市宮崎町2130-1,
有田市,谷口アパート上,避難場所,指定避難場所,,津波　,土砂災害予測地域　,,☆☆☆,,,,26,135.179937,34.066032,,,,,,,,有田市糸我町　中番1071-1,
有田市,千田老人憩いの家,避難所,指定避難所,,,土砂災害予測地域　浸水予測地域　津波浸水予測地域,,,耐震　,,,9.1,135.140681,34.065389,,,,204.8,,100,,有田市千田1255,
有田市,天神坪高台,避難場所,指定避難場所,,津波　,土砂災害予測地域　,,☆☆☆,,,,25,135.149488,34.082143,,,,,,,,有田市山田原309,
有田市,竹田グラウンド,避難場所,指定避難場所,,洪水　地震　,浸水予測地域　,,,,,,6,135.122272,34.098943,,,,,9800,,,有田市初島町　里1266番地1号,
有田市,特別養護老人ホーム愛宕苑,福祉避難所,,,,浸水予測地域　津波浸水予測地域,,,耐震　,,,,135.114295,34.08921,,,,,,10,,有田市港町9-1,
有田市,特別養護老人ホームありだ橘苑,福祉避難所,,,,浸水予測地域　,,,耐震　,,,,135.135241,34.076409,,,,,,8,,有田市野639-2,
有田市,特別養護老人ホーム田鶴苑,福祉避難所,,,,浸水予測地域　津波浸水予測地域,,,耐震　,,,,135.112901,34.075889,,,,,,10,,有田市宮崎町911,
有田市,鳥間池周辺,避難場所,指定避難場所,,津波　,,,☆☆☆,,,,16,135.147675,34.061756,,,,,,,,有田市千田1795,
有田市,トーヨーカネツ㈱和歌山工場,避難場所,指定避難場所,,洪水　津波　,浸水予測地域　津波浸水予測地域,☆,☆☆,,,,,135.133209,34.073774,,,,,,,200,有田市野460,
有田市,道会館,避難所,指定避難所,,,浸水予測地域　,,,耐震　,,,10.7,135.175656,34.082984,,,,60,,50,,有田市宮原町道21,
有田市,長峰農道高台,避難場所,指定避難場所,,津波　,土砂災害予測地域　,,☆☆☆,,,,20,135.127324,34.088281,,,,,,,,有田市箕島1067,
有田市,西谷農道,避難場所,指定避難場所,,洪水　津波　,土砂災害予測地域　,,☆☆☆,,,,24,135.170327,34.064298,,,,,,,,有田市糸我町　西1136,
有田市,西迎高台,避難場所,指定避難場所,,津波　,土砂災害予測地域　,,☆☆☆,,,,20,135.152224,34.082788,,,,,,,,有田市下中島1022,
有田市,西山農道,避難場所,指定避難場所,,津波　,土砂災害予測地域　,,☆☆☆,,,,24,135.167276,34.06968,,,,,,,,有田市糸我町　西725,
有田市,仁平寺付近高台,避難場所,指定避難場所,,津波　,土砂災害予測地域　,,☆☆☆,,,,23,135.166932,34.067071,,,,,,,,有田市糸我町　西791,
有田市,初島公民館,避難所,指定避難所,,,,,,非耐震,○,毛布,3,135.116451,34.099854,,,,673.7,,100,,有田市初島町　浜1367-3,
有田市,初島公民館,避難場所,,,地震　津波　,浸水予測地域　,☆☆,☆☆,,,,,135.116355,34.099897,,,,,,,,有田市初島町　浜1367-3,
有田市,初島小学校,避難所,,,,,,,,,,,135.118341,34.099135,,,,,,,,有田市初島町　里1242番地,
有田市,初島小学校【指定】,避難所を兼ねる避難場所,指定避難場所兼指定避難所,,洪水　崖崩れ・土石流及び地滑り　地震　津波　,浸水予測地域　,☆☆☆,☆☆,耐震　,○,簡易トイレ、投光器、ＬＰガス、パーティション,2.3,135.118341,34.099135,,,,3298,,528,802,有田市初島町　里1242,
有田市,初島小学校運動場,避難場所,指定避難場所,,地震　,浸水予測地域　,,,,○,,2.3,135.118341,34.099135,,,,,7673,250,,有田市初島町　里1242,
有田市,旧初島中学校,避難所,,,洪水　,,,,,,,,135.122345,34.100228,,,,,,,,有田市初島町　里135番地1号,
有田市,旧初島中学校【指定】,避難所を兼ねる避難場所,指定避難場所兼指定避難所,,洪水　崖崩れ・土石流及び地滑り　地震　津波　,土砂災害予測地域　浸水予測地域　,☆（注）,☆☆,耐震　,○,簡易トイレ、投光器、ＬＰガス、パーティション,2.9,135.122345,34.100228,,,,4018,,655,2722,有田市初島町　里1350-1,
有田市,旧初島中学校裏山,避難場所,指定避難場所,,洪水　津波　,土砂災害予測地域　,,☆☆☆,,,,20,135.122735,34.101773,,,,,,,,有田市初島町　里1350-1,
有田市,旧初島中学校運動場,避難場所,指定避難場所,,地震　,土砂災害予測地域　浸水予測地域　,,,,○,,2.9,135.122345,34.100228,,,,,5108,300,,有田市初島町　里1350-1,
有田市,初島トンネル東側,避難場所,指定避難場所,,津波　,土砂災害予測地域　,,☆☆☆,,,,28,135.126058,34.10258,,,,,,,,有田市初島町　里1035,
有田市,福勝寺,避難場所,指定避難場所,,津波　,土砂災害予測地域　,,☆☆☆,,,,14,135.188521,34.07574,,,,,,,,有田市宮原町須谷799,
有田市,伏谷A,避難場所,指定避難場所,,津波　,土砂災害予測地域　,,☆☆☆,,,,17,135.183181,34.07833,,,,,,,,有田市宮原町東480,
有田市,伏谷B,避難場所,指定避難場所,,津波　,土砂災害予測地域　,,☆☆☆,,,,14,135.182455,34.077629,,,,,,,,有田市宮原町東385,
有田市,ふるさとの川総合公園,避難場所,指定避難場所,,地震　,浸水予測地域　,,,,,,,135.160605,34.07876,,,,,256.9,,,有田市宮原町滝川原635,
有田市,文成中学校,避難所,,,,,,,,,,,135.172551,34.079519,,,,,,,,有田市宮原町新町1番地,
有田市,文成中学校【指定】,避難所を兼ねる避難場所,指定避難場所兼指定避難所,,洪水　崖崩れ・土石流及び地滑り　地震　,浸水予測地域　,☆,,耐震　,○,簡易トイレ、投光器、ＬＰガス、パーティション,9.3,135.172551,34.079519,,,,4714,,704,542,有田市宮原町新町1,
有田市,文成中学校運動場,避難場所,指定避難場所,,地震　,浸水予測地域　,,,,○,,9.3,135.172551,34.079519,,,,,7047,300,,有田市宮原町新町1,
有田市,弁財天,避難場所,指定避難場所,,津波　,土砂災害予測地域　,,☆☆☆,,,,10,135.128957,34.087276,,,,,,,,有田市新堂1151,
